0: 0,57,84,89,93,117,152,154,241,304,331,343,480,524,526,531,559,569,734,748,791,807,821,852,856,860,890,897,922,1018,1020,0
1: 233,474,482,620,649,715,843,869,885,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233
2: 276,289,300,302,336,439,522,568,583,716,749,810,822,851,912,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276
3: 24,132,183,297,379,600,831,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
4: 67,182,401,490,643,741,857,996,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
5: 14,47,272,412,514,755,859,861,888,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
6: 381,521,672,701,942,945,968,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381
7: 205,243,278,327,410,427,683,952,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205
8: 25,149,229,418,472,503,630,659,766,815,868,954,977,1012,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
9: 4,102,104,127,214,240,449,487,575,680,990,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10: 64,164,198,408,459,481,499,512,613,648,828,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
11: 20,53,136,177,378,428,444,786,817,893,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
12: 46,68,218,435,750,768,769,818,973,979,1015,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
13: 35,48,56,77,260,266,286,317,413,426,433,485,519,528,535,574,668,685,743,760,823,919,925,939,35,35,35,35,35,35,35,35
14: 36,97,143,160,170,197,221,261,282,308,358,366,372,406,478,588,593,637,654,678,710,762,772,801,957,36,36,36,36,36,36,36
15: 94,134,155,181,210,391,422,566,610,756,796,832,908,975,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
16: 51,82,186,306,368,561,611,615,651,674,777,829,830,839,846,882,910,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
17: 26,141,203,283,310,626,858,907,969,978,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
18: 27,66,138,190,195,211,220,244,275,279,313,355,393,440,458,477,511,573,617,638,669,702,765,788,797,798,802,836,838,902,914,917
